,Fold,Train accuracy,Train AUC,Train recall,Train precision,Train F1,Test accuracy,Test AUC,Test recall,Test precision,Test F1
0,1,0.9793403407031533,0.9991370241218114,0.9624005784526392,0.9962574850299402,0.9790364104450165,0.6560347952156579,0.6620671155098315,0.654364224137931,0.6606527651858568,0.6574934584498783
1,2,0.9785960457101397,0.9990670249192681,0.9632536567962897,0.994475138121547,0.9786154403769481,0.6542102640757349,0.6595582863586931,0.6573565186052798,0.6557023456457266,0.6565283901736705
2,3,0.9788196958725561,0.9990955455009631,0.9614969413458079,0.9962714392244594,0.9785753524995423,0.6491887972446297,0.6556187177992415,0.6400251730648207,0.6557663964627856,0.6478001728923062
3,4,0.9784420289855073,0.999064522481129,0.96,0.9966024915062288,0.9779588812743101,0.6610330765745356,0.6681688803229395,0.6619440459110474,0.6654647074731813,0.6636997077995056
4,5,0.9767905711695376,0.9989037239839171,0.9604136947218259,0.9937269372693727,0.9767863619876677,0.6543601359003397,0.6609445497148783,0.6565146873310507,0.6561599423631124,0.6563372669128908
0,1,0.749728162377673,0.8172994412004574,0.9060014461315979,0.6909291425420457,0.783982480838417,0.718738673432403,0.7655460893421705,0.8820941091954023,0.6674140508221226,0.7598824166473274
1,2,0.7576637039724288,0.8180166084572014,0.9029611130931146,0.7040333796940195,0.7911847452328853,0.7101508357113738,0.7571118984440718,0.8659338679160284,0.6618234402974796,0.7502439405175442
2,3,0.74637943519189,0.8188336803937415,0.9107592659229938,0.6870249728555917,0.7832276032802103,0.7140396990845644,0.7684502004859735,0.8732356378674818,0.6646821323479094,0.7548181535592167
3,4,0.7519927536231884,0.8213554972103709,0.8978181818181818,0.6941242620185549,0.782939590930712,0.7132759401903036,0.7628943599844202,0.8561692969870875,0.6690022421524664,0.7511013215859031
4,5,0.7474161378059837,0.8114174381225956,0.9154778887303852,0.6894977168949772,0.7865788264133599,0.7136579841449604,0.7671501634021614,0.8790773112272482,0.6620970478452664,0.755312971780281
0,1,0.7609641174338528,0.846698489969564,0.8445408532176428,0.7243410852713178,0.7798364212986146,0.7188745922435665,0.7853493183498663,0.8071120689655172,0.6889996167113837,0.7433935734667713
1,2,0.7690912388898966,0.8551829681693177,0.8405280057081698,0.7404148334380892,0.7873015873015873,0.7171717171717171,0.780406807110769,0.7971889359401748,0.6890429094307297,0.7391812865497076
2,3,0.7449312092686459,0.8281615761196222,0.8222382151853185,0.7140625,0.7643418631878242,0.7231034170216623,0.784202060699009,0.795109233120561,0.6977514792899409,0.7432557357761156
3,4,0.7581521739130435,0.8373860190351163,0.8414545454545455,0.7201991907874261,0.7761194029850746,0.7232442229270503,0.7905126340598745,0.7988701578192252,0.6974322843275403,0.7447128646660537
4,5,0.7521305530371714,0.8309299935645499,0.8566333808844507,0.7133947133947134,0.7784799870361367,0.7235787089467723,0.7884211294990839,0.8234817084159308,0.6880740852281283,0.7497128794093519
